id|nct_id|ctgov_group_code|units|scope|count
581|NCT02469961|B2|Participants|Overall|24
582|NCT02469961|B1|Participants|Overall|21
583|NCT02469597|B3|Participants|Overall|46
584|NCT02469597|B2|Participants|Overall|24
585|NCT02469597|B1|Participants|Overall|22
586|NCT02469116|B1|Participants|Overall|18
587|NCT02468154|B3|Participants|Overall|57
588|NCT02468154|B2|Participants|Overall|28
589|NCT02468154|B1|Participants|Overall|29
590|NCT02467491|B1|Participants|Overall|12
591|NCT02465489|B1|Participants|Overall|20
592|NCT02465073|B4|Participants|Overall|45
593|NCT02465073|B3|Participants|Overall|15
594|NCT02465073|B2|Participants|Overall|15
595|NCT02465073|B1|Participants|Overall|15
596|NCT02463331|B3|Participants|Overall|57
597|NCT02463331|B2|Participants|Overall|31
598|NCT02463331|B1|Participants|Overall|26
599|NCT02462291|B3|Participants|Overall|163
600|NCT02462291|B2|Participants|Overall|81
601|NCT02462291|B1|Participants|Overall|82
602|NCT02461992|B1|Participants|Overall|13
603|NCT02461290|B1|Participants|Overall|99
604|NCT02460458|B1|Participants|Overall|266
605|NCT02458768|B3|Participants|Overall|85
606|NCT02458768|B2|Participants|Overall|41
607|NCT02458768|B1|Participants|Overall|44
608|NCT02458365|B3|Participants|Overall|3901
609|NCT02458365|B2|Participants|Overall|1901
610|NCT02458365|B1|Participants|Overall|2000
611|NCT02457728|B1|Participants|Overall|34
612|NCT02457247|B5|Participants|Overall|276
613|NCT02457247|B4|Participants|Overall|70
614|NCT02457247|B3|Participants|Overall|68
615|NCT02457247|B2|Participants|Overall|70
616|NCT02457247|B1|Participants|Overall|68
617|NCT02455050|B5|Participants|Overall|79
618|NCT02455050|B4|Participants|Overall|20
619|NCT02455050|B3|Participants|Overall|20
620|NCT02455050|B2|Participants|Overall|19
621|NCT02455050|B1|Participants|Overall|20
622|NCT02454608|B3|Participants|Overall|20
623|NCT02454608|B2|Participants|Overall|10
624|NCT02454608|B1|Participants|Overall|10
625|NCT02454283|B3|Participants|Overall|41
626|NCT02454283|B2|Participants|Overall|15
627|NCT02454283|B1|Participants|Overall|26
628|NCT02454127|B5|Participants|Overall|160
629|NCT02454127|B4|Participants|Overall|40
630|NCT02454127|B3|Participants|Overall|40
